la_code,la_name,total_sch2015,notion_send2015,schoo_excl_send2015,hn_block2015,total_sch2016,notion_send2016,schoo_excl_send2016,hn_block2016,total_sch2017,notion_send2017,schoo_excl_send2017,hn_block2017,total_sch2018,notion_send2018,schoo_excl_send2018,hn_block2018
202,Camden,121455919,24383393,97072527,34277455,120697305,24320673,96376632,33543992,119305846,25055980,94249866,34699070,116181623,23949938,92231685,35413593.15
203,Greenwich,198961626,18184690,180776937,40770893,201827697,18140072,183687625,40629005,204156327,17975440,186180888,46748659,210485478,16947833,193537645,46171388.89
204,Hackney,209646911,46456486,163190425,38709808,206752511,41344234,165408276,37859176,206172461,42646715,163525746,42187094,205673934,43959788,161714146,42643234.98
205,Hammersmith and Fulham,105072140,11731893,93340247,19806696,102862763,9504501,93358262,19775076,101948144,9095417,92852728,20502973,100272850,9657802,90615048,21579114.88
206,Islington,131078054,27961839,103116214,27209078,129268425,23817830,105450595,26805698,130746308,23441932,107304376,27563065,130257664,19029212,111228452,28177223.89
208,Lambeth,213576416,46304899,167271517,38746957,211775542,45968363,165807180,38339858,208771911,36074663,172697249,41081947,209139972,37361809,171778163,42350754.98
209,Lewisham,217308795,31782828,185525967,46631211,215576694,31353071,184223623,45688921,213535110,30002179,183532932,51787090,209897580,33122888,176774692,50183440.82
210,Southwark,243952900,16322564,227630336,41111874,244447630,15251802,229195828,40422811,236926389,14664176,222262213,46165921,238596884,15611528,222985355,43691494.01
211,Tower Hamlets,262110218,22953246,239156972,46527283,259761797,22288837,237472960,45699939,256960150,21435193,235524957,47213024,256705146,20841293,235863853,49781238.34
212,Wandsworth,154657151,22144997,132512154,44291592,153102695,21480321,131622375,44386312,153900302,21130057,132770246,43403544,155025220,20451068,134574152,43193770.33
213,Westminster,117583365,10162400,107420964,25641904,115657290,9718863,105938426,25175268,112814698,4020245,108794453,25284743,111406345,9241997,102164348,25631773.15
301,Barking and Dagenham,197408691,14210173,183198517,25527315,203244534,14305890,188938645,24671419,205352493,13966126,191386367,28724344,208572215,21727338,186844877,28769692.8
302,Barnet,243217847,18990941,224226906,44321917,244402090,19170161,225231929,43465729,247134581,19532926,227601655,49737129,247776040,20739984,227036056,49173241.35
303,Bexley,180703434,18378985,162324449,29300418,177363108,17962936,159400172,28608541,176294167,17504346,158789822,32795864,176329882,15422700,160907182,32184407.29
304,Brent,235700337,47988175,187712162,59382525,230664393,35622944,195041448,58120995,229572107,38759826,190812281,54773074,229492344,38763350,190728994,55316936.23
305,Bromley,207636439,28314549,179321890,51441666,202448515,27755607,174692908,50151633,198850095,12226800,186623295,46988241,203233591,25455033,177778558,47721768.49
306,Croydon,243294374,30536449,212757926,55211230,238184752,26656999,211527753,53645325,234933696,26864503,208069193,60075277,238913309,29373893,209539417,60211003.02
307,Ealing,232558533,25103418,207455116,46753298,231442701,24958460,206484240,46115899,232886077,24784472,208101605,52292050,235861713,32556140,203305573,53680645.93
308,Enfield,260450529,25017018,235433511,33454698,255123078,23434846,231688232,33373328,252664116,22608902,230055214,42401640,253651743,25917929,227733814,46948676.38
309,Haringey,199093981,13234330,185859651,33371854,196662543,12535293,184127249,32872271,195125957,11936145,183189811,36619699,194337294,13818367,180518927,35466080.49
310,Harrow,155452222,4705962,150746261,27808628,154105170,4640801,149464368,27230079,154125029,4483408,149641621,32098539,158795664,4125948,154669716,31532106.2
311,Havering,172142966,8842009,163300957,20379994,168896172,8622682,160273490,20245835,168718612,8652043,160066569,23183215,169323556,8244200,161079357,23884993.51
312,Hillingdon,213040188,10665290,202374898,34197833,210417274,10000620,200416655,33529229,210691293,11476946,199214347,35811866,212732925,11110883,201622041,38467913.5
313,Hounslow,179723812,23837399,155886414,35684589,178765839,23332980,155432858,34731044,178628726,23119000,155509726,44452663,183395631,24291638,159103992,46925184.1
314,Kingston upon Thames,96889021,5332805,91556216,19787315,97043065,5175555,91867509,19510444,96344207,5127561,91216647,19339371,97756221,7233917,90522304,22266031.4
315,Merton,118424844,10090217,108334627,29670047,117265435,9828968,107436467,28844999,117053408,9719133,107334275,33047563,117868232,9721959,108146273,32661993.6
316,Newham,325845391,22473982,303371409,43745364,334488588,22591609,311896979,43321350,333887872,22453706,311434166,48516164,330003950,17790567,312213383,47392802.55
317,Redbridge,214324243,21438976,192885267,38621080,214243079,19355315,194887763,37739109,216025632,19921069,196104563,42531296,220252539,18844792,201407747,42441671.65
318,Richmond upon Thames,105372196,13302787,92069408,22274058,106588659,13223307,93365352,21654875,107494968,13686746,93808222,24478726,110390000,12651180,97738820,25327350.77
319,Sutton,140805071,13362653,127442418,33586141,140340318,13058722,127281596,32683671,141680443,13606613,128073830,36193308,146350907,20749566,125601341,37726873.61
320,Waltham Forest,201513188,20448887,181064301,36410689,199439234,19664796,179774439,36111155,199348361,19267243,180081118,36825926,197881588,18612596,179268992,36981403.97
330,Birmingham,893586962,168920646,724666316,131083886,893102330,167560655,725541675,130609916,900080609,169532072,730548537,152202342,905294609,161524203,743770406,155651013.2
331,Coventry,233450450,20551466,212898984,31651741,233368501,19994752,213373749,31561077,233870118,19947893,213922226,36150847,233588475,19530618,214057857,37446649.71
332,Dudley,205981443,15967813,190013631,32752555,202161716,15978785,186182931,32695544,199218789,16299693,182919096,31509703,197760808,26490312,171270496,31230407.63
333,Sandwell,240436144,28823793,211612351,39333003,243076801,28765162,214311639,38973738,247455435,29397538,218057897,39493360,253631100,29804100,223827000,40185530.16
334,Solihull,148003991,5991473,142012517,26357430,145620392,5988252,139632140,26070354,145863143,5199315,140663828,27124987,149333497,6944724,142388773,27243228.44
335,Walsall,203438033,14843396,188594637,30222472,201959359,14584922,187374436,29963687,202398433,14597023,187801411,30532322,204812796,17501260,187311536,31543284.39
336,Wolverhampton,169366392,21959810,147406581,29421606,169477835,17734774,151743061,28928849,176727111,25470482,151256629,32281944,179879357,25987201,153892155,34549334.51
340,Knowsley,89582129,11908986,77673142,21088996,87139849,11471014,75668835,20668242,88405384,11430565,76974818,20120471,89718736,11543713,78175023,19554630.83
341,Liverpool,300579738,40936233,259643504,46418786,297506670,39442880,258063790,45980354,299892501,39920446,259972056,47040009,302491175,43751273,258739902,47278921.28
342,St Helens,107596583,4084133,103512449,19259922,104224031,3987403,100236628,19065139,103149241,3964944,99184297,19044000,105690921,4093875,101597045,22414073.02
343,Sefton,164520268,25653421,138866847,28659308,160009577,24884798,135124779,28224198,158062027,24384497,133677531,27576885,156318814,24851475,131467339,27845506.93
