la_name,la_code_long,year,phase_type_grouping,ehc_plan,total_pupils,sen_support
Barking and Dagenham,E09000002,2015,Total,942,41975,5038
Barking and Dagenham,E09000002,2015,State-funded primary,369,26973,3321
Barking and Dagenham,E09000002,2015,State-funded secondary,233,14404,1584
Barking and Dagenham,E09000002,2015,State-funded special school,305,310,5
Barking and Dagenham,E09000002,2016,Total,1012,42944,4911
Barking and Dagenham,E09000002,2016,State-funded primary,380,27058,3455
Barking and Dagenham,E09000002,2016,State-funded secondary,249,15232,1376
Barking and Dagenham,E09000002,2016,State-funded special school,340,346,6
Barking and Dagenham,E09000002,2017,Total,1092,43506,4973
Barking and Dagenham,E09000002,2017,State-funded primary,417,26793,3494
Barking and Dagenham,E09000002,2017,State-funded secondary,245,15962,1411
Barking and Dagenham,E09000002,2017,State-funded special school,379,391,12
Barking and Dagenham,E09000002,2018,Total,1178,43916,5000
Barking and Dagenham,E09000002,2018,State-funded primary,433,26187,3485
Barking and Dagenham,E09000002,2018,State-funded secondary,255,16971,1463
Barking and Dagenham,E09000002,2018,State-funded special school,430,443,13
Barnet,E09000003,2015,Total,1681,63656,6956
Barnet,E09000003,2015,State-funded primary,572,31359,3971
Barnet,E09000003,2015,State-funded secondary,557,24107,2052
Barnet,E09000003,2015,State-funded special school,410,455,45
Barnet,E09000003,2016,Total,1763,64752,6679
Barnet,E09000003,2016,State-funded primary,596,31613,3827
Barnet,E09000003,2016,State-funded secondary,579,24954,1958
Barnet,E09000003,2016,State-funded special school,421,465,44
Barnet,E09000003,2017,Total,1851,65789,6943
Barnet,E09000003,2017,State-funded primary,613,31755,3761
Barnet,E09000003,2017,State-funded secondary,584,25587,2175
Barnet,E09000003,2017,State-funded special school,495,531,36
Barnet,E09000003,2018,Total,2016,66962,7147
Barnet,E09000003,2018,State-funded primary,664,31877,3769
Barnet,E09000003,2018,State-funded secondary,612,26481,2306
Barnet,E09000003,2018,State-funded special school,545,585,40
Barnsley,E08000016,2015,Total,1248,33264,3696
Barnsley,E08000016,2015,State-funded primary,411,21188,2507
Barnsley,E08000016,2015,State-funded secondary,325,11385,1074
Barnsley,E08000016,2015,State-funded special school,404,408,4
Barnsley,E08000016,2016,Total,1239,33747,3776
Barnsley,E08000016,2016,State-funded primary,391,21507,2645
Barnsley,E08000016,2016,State-funded secondary,319,11549,1027
Barnsley,E08000016,2016,State-funded special school,411,414,3
Barnsley,E08000016,2017,Total,1289,33980,3911
Barnsley,E08000016,2017,State-funded primary,441,21549,2606
Barnsley,E08000016,2017,State-funded secondary,319,11755,1197
Barnsley,E08000016,2017,State-funded special school,404,405,1
Barnsley,E08000016,2018,Total,1379,34451,3750
Barnsley,E08000016,2018,State-funded primary,495,21630,2507
Barnsley,E08000016,2018,State-funded secondary,340,12216,1188
Barnsley,E08000016,2018,State-funded special school,415,415,0
Bath and North East Somerset,E06000022,2015,Total,837,30571,3233
Bath and North East Somerset,E06000022,2015,State-funded primary,258,13226,1670
Bath and North East Somerset,E06000022,2015,State-funded secondary,167,12521,1066
Bath and North East Somerset,E06000022,2015,State-funded special school,410,410,0
Bath and North East Somerset,E06000022,2016,Total,897,31192,3408
Bath and North East Somerset,E06000022,2016,State-funded primary,287,13510,1749
Bath and North East Somerset,E06000022,2016,State-funded secondary,179,12816,1146
Bath and North East Somerset,E06000022,2016,State-funded special school,429,429,0
Bath and North East Somerset,E06000022,2017,Total,955,31415,3559
Bath and North East Somerset,E06000022,2017,State-funded primary,300,13580,1769
Bath and North East Somerset,E06000022,2017,State-funded secondary,199,12927,1251
Bath and North East Somerset,E06000022,2017,State-funded special school,453,453,0
Bath and North East Somerset,E06000022,2018,Total,1015,31676,3630
Bath and North East Somerset,E06000022,2018,State-funded primary,322,13515,1805
Bath and North East Somerset,E06000022,2018,State-funded secondary,216,13134,1199
Bath and North East Somerset,E06000022,2018,State-funded special school,475,476,1
Bedford,E06000055,2015,Total,927,32095,3382
Bedford,E06000055,2015,State-funded primary,192,13351,1628
